LANGUAGE	CONCEPT	VALUE
Hausa	wash	yā wankḕ
Hausa	(rope) broke	yā tsinkḕ
Hausa	(stick) snapped	yā karyḕ
Hausa	break in pieces	yā fashḕ
Hausa	plait	tā kitsḕ
Hausa	weave	yā saƙā̀
Hausa	obtain	yā sāmù
Hausa	moisten	yā jiƙā̀ shi
Hausa	blow	yā hūrā̀
Hausa	sweep	yā shārḕ
Hausa	pour	yā ɗūrā̀
Hausa	untie	yā kwancḕ
Hausa	tie	yā ɗaurḕ
Hausa	surpass	yā fī shì
Hausa	sew	yā ɗinkā̀
Hausa	dry up	yā būshḕ
Hausa	show	yā nūnā̀
Hausa	fill	yā cikà shi
Hausa	begin	yā sōmā̀
Hausa	finish	yā gāmā̀
Hausa	increase	yā ƙārā̀
Hausa	forge	yā ƙērā̀
Hausa	throw	yā jēfā̀
Hausa	follow	yā bī shì
Hausa	die	yā mutù
Hausa	wait for	yā jirā
Hausa	give birth	tā haifù
Hausa	stand up	yā tāshì
Hausa	sit	yā zaunā̀
Hausa	call	yā kirā
Hausa	sell	yā sayar dà shī
Hausa	buy	yā sàyi wuƙā
Hausa	shoot	yā hàrbā
Hausa	bite	yā cī̀zā
Hausa	give	yā bā shì
Hausa	seize	yā kāmā̀
Hausa	drive away	yā kṑrā
Hausa	hold	yā riƙḕ
Hausa	squeeze	yā matsà
Hausa	squeeze	lḕmū
Hausa	pierce	yā hūdā̀
Hausa	divide	yā rabā̀
Hausa	learn	yā kṑyā
Hausa	dig	yā haƙā̀
Hausa	forget	yā mântā
Hausa	remember	yā tunā̀
Hausa	know	yā sanī̀
Hausa	fall	yā fāɗī̀
Hausa	help	yā tàimàkē shì
Hausa	steal	yā sā̀tā
Hausa	hide	yā ɓōyḕ
Hausa	arrange	yā shiryā̀
Hausa	undress	yā tūɓḕ
Hausa	undress	tufāfī̀
Hausa	dress	yā sā̂
Hausa	dress	tufāfī̀
Hausa	build	yā ginā̀
Hausa	tear	yā yāgḕ
Hausa	cut	yā yankā̀
Hausa	chop	yā sā̀rā
Hausa	twist	yā murɗḕ
Hausa	refuse	yā ƙi
Hausa	answer	yā amsā̀
Hausa	ask	yā tàmbayā̀
Hausa	speak	yā fàɗā
Hausa	boil	yā tàfasā̀
Hausa	fry	yā sōyā̀
Hausa	roast	yā gasā̀
Hausa	cook	yā dafā̀
Hausa	burn	yā ƙōnḕ
Hausa	accompany	yā rakà shi
Hausa	gather	yā tārā̀
Hausa	bury	yā binnḕ
Hausa	close	yā rufḕ
Hausa	open	yā būɗḕ
Hausa	be tired	yā gàji
Hausa	rest	yā hūtā̀
Hausa	lie down	yā kwântā
Hausa	put down	yā ajìyē
Hausa	lift	yā ɗaukā̀
Hausa	push	yā tūrḕ
Hausa	pull	yā jā
Hausa	kill	yā kashḕ
Hausa	rub	yā gōgḕ
Hausa	hit	yā bugā̀
Hausa	taste	yā ɗanɗànā
Hausa	touch	yā taɓā̀
Hausa	smell	yā ji
Hausa	smell	wārī
Hausa	hear	yā ji
Hausa	see	yā ganī
Hausa	mount	yā hau
Hausa	run	yā gudù
Hausa	go out	yā fìta
Hausa	go in	yā shìga
Hausa	return	yā kōmà
Hausa	come	yā zō
Hausa	go	yā tàfi
Hausa	do	yā yi
Hausa	swallow	yā haɗìyē
Hausa	drink	yā shā
Hausa	eat	yā ci
Hausa	there is not	bābù àbinci
Hausa	there is	àkwai àbinci
Hausa	west	yâmma
Hausa	east	gabàs
Hausa	south	kudù
Hausa	north	arḕwa
Hausa	left	hagu
Hausa	right	dāma
Hausa	between	tsàkānī
Hausa	under	ƙàrƙashī
Hausa	atop	à kâi
Hausa	outside	wàje
Hausa	inside	cikī
Hausa	that	wancàn
Hausa	this	wannàn
Hausa	there	cân
Hausa	here	nân
Hausa	how many?	nawà
Hausa	how?	yā̀yā̀
Hausa	who?	wā̀
Hausa	what?	mḕ
Hausa	when?	yàushè
Hausa	where?	ìnā
Hausa	tomorrow	gṑbe
Hausa	yesterday	jiyà
Hausa	today	yâu
Hausa	deaf man	kurmā
Hausa	blind man	màkāfṑ
Hausa	strength	ƙarfī
Hausa	coldness	sanyī
Hausa	hotness	zāfī
Hausa	far	nīsa
Hausa	near	kusa
Hausa	inexpensiveness	àràhā
Hausa	expensiveness	tsàdā
Hausa	thin	sī̀rīrī̀
Hausa	fatness	ƙibā̀
Hausa	cleanness	tsabtā̀
